,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：a2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
10,,方正中期,20905,,-5868,,
11,,海通期货,18708,,-12261,,
12,,兴证期货,16689,,-7255,,
13,,华泰期货,16329,,4598,,
14,,一德期货,13519,,-5938,,
15,,国投安信,12782,,310,,
16,,中粮期货,11348,,6103,,
17,,五矿经易,11220,,2505,,
18,,鲁证期货,10215,,-26,,
19,,广发期货,10019,,392,,
20,,中财期货,9745,,1563,,
总计,,,,489239,,-38651,,

名次,,会员简称,持卖单量,增减,,
1,,中信期货,55393,,8651,,
2,,永安期货,38096,,-2865,,
3,,方正中期,36490,,14346,,
4,,国富期货,34896,,-8496,,
5,,银河期货,34468,,-1110,,
6,,一德期货,28880,,-4700,,
7,,光大期货,28223,,1636,,
8,,东证期货,26903,,-2780,,
9,,华泰期货,25629,,6900,,
10,,鲁证期货,25613,,3505,,
11,,海通期货,22726,,-14724,,
12,,浙商期货,19495,,-2941,,
13,,广发期货,18847,,-219,,
14,,申银万国,15699,,592,,
15,,兴业期货,14108,,-944,,
16,,徽商期货,13594,,-1386,,
17,,南华期货,10520,,-431,,
18,,大地期货,9707,,-644,,
19,,国投安信,9502,,-521,,
20,,中辉期货,9182,,-1149,,
总计,,,,477971,,-7280,,



会员类别,总成交量,增减,,
期货公司会员,1175190,-12811,,

会员类别,总持买单量,增减,,
期货公司会员,489239,,-38651,,

会员类别,总持卖单量,增减,,
期货公司会员,477971,,-7280,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：p2009,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,德盛期货,979,,926,,
2,,美尔雅期货,929,,903,,
3,,银河期货,863,,761,,
4,,东兴期货,812,,808,,
5,,永安期货,616,,13,,
6,,国元期货,615,,-987,,
7,,东证期货,520,,394,,
8,,国泰君安,519,,476,,
9,,中天期货,503,,502,,
10,,金信期货,502,,502,,
11,,渤海期货,498,,354,,
12,,华泰期货,453,,413,,
13,,国投安信,422,,381,,
14,,一德期货,284,,280,,
15,,浙商期货,275,,264,,
16,,五矿经易,270,,245,,
17,,徽商期货,255,,-80,,
18,,中辉期货,230,,107,,
19,,方正中期,218,,39,,
20,,盛达期货,212,,211,,
总计,,,,9975,,6512,,

名次,,会员简称,持买单量,增减,,
1,,渤海期货,2152,,494,,
2,,德盛期货,2072,,944,,
3,,申银万国,1831,,-7,,
4,,上海中期,1227,,0,,
5,,东兴期货,935,,806,,
6,,中信期货,744,,49,,
7,,永安期货,700,,-518,,
8,,瑞达期货,586,,0,,
9,,中国国际,565,,4,,
10,,方正中期,552,,12,,
11,,浙商期货,504,,26,,
12,,国投安信,475,,51,,
13,,华安期货,420,,-4,,
14,,华泰期货,400,,-342,,
15,,国泰君安,307,,-209,,
16,,徽商期货,299,,40,,
17,,东航期货,262,,-1,,
18,,国联期货,252,,55,,
19,,国海良时,239,,2,,
20,,中辉期货,234,,-32,,
总计,,,,14756,,1370,,

名次,,会员简称,持卖单量,增减,,
1,,国投安信,4676,,-303,,
2,,国富期货,2999,,45,,
3,,浙商期货,1529,,173,,
4,,美尔雅期货,1024,,869,,
5,,中辉期货,944,,-18,,
6,,国泰君安,933,,-288,,
7,,永安期货,607,,18,,
8,,建信期货,436,,-1,,
9,,前海期货,299,,-59,,
10,,五矿经易,284,,250,,
11,,上海中期,279,,-58,,
12,,华泰期货,259,,1,,
13,,东证期货,257,,8,,
14,,盛达期货,239,,211,,
15,,平安期货,223,,16,,
16,,广州金控,217,,3,,
17,,华金期货,210,,1,,
18,,一德期货,205,,86,,
19,,东方财富,200,,-40,,
20,,东吴期货,197,,0,,
总计,,,,16017,,914,,



会员类别,总成交量,增减,,
期货公司会员,9975,,6512,,

会员类别,总持买单量,增减,,
期货公司会员,14756,,1370,,

会员类别,总持卖单量,增减,,
期货公司会员,16017,,914,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：jd2003,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,方正中期,932,,-1007,,
2,,东证期货,609,,-99,,
3,,徽商期货,525,,-322,,
4,,国泰君安,407,,201,,
5,,格林大华,389,,221,,
6,,长江期货,371,,-83,,
7,,宏源期货,369,,-114,,
8,,华安期货,344,,-483,,
9,,中信期货,320,,-180,,
10,,中信建投,276,,-404,,
11,,瑞达期货,233,,165,,
12,,永安期货,229,,-15,,
13,,冠通期货,208,,-39,,
14,,西部期货,208,,22,,
15,,美尔雅期货,205,,34,,
16,,汇鑫期货,201,,94,,
17,,先锋期货,163,,-114,,
18,,华泰期货,140,,-349,,
19,,上海中期,139,,-132,,
20,,华鑫期货,136,,109,,
总计,,,,6404,,-2495,,

名次,,会员简称,持买单量,增减,,
1,,方正中期,1307,,-1,,
2,,中辉期货,1198,,0,,
3,,宝城期货,935,,8,,
4,,广发期货,812,,3,,
5,,光大期货,748,,-6,,
6,,中信期货,667,,187,,
7,,长江期货,667,,4,,
8,,银河期货,552,,2,,
9,,宏源期货,534,,10,,
10,,永安期货,506,,-20,,
11,,南华期货,402,,8,,
12,,兴证期货,401,,15,,
13,,中财期货,351,,0,,
14,,鲁证期货,315,,-18,,
15,,美尔雅期货,299,,167,,
16,,浙商期货,293,,-1,,
17,,中信建投,229,,-25,,
18,,东海期货,227,,2,,
19,,海通期货,218,,0,,
20,,格林大华,212,,0,,
总计,,,,10873,,335,,

名次,,会员简称,持卖单量,增减,,
1,,华安期货,812,,34,,
2,,方正中期,769,,121,,
3,,长江期货,688,,79,,
4,,格林大华,674,,-325,,
5,,鲁证期货,638,,-34,,
6,,汇鑫期货,633,,201,,
7,,徽商期货,567,,23,,
8,,先锋期货,537,,27,,
9,,华泰期货,411,,-43,,
10,,中大期货,403,,21,,
11,,海证期货,371,,11,,
12,,中钢期货,350,,0,,
13,,永安期货,308,,-45,,
14,,申银万国,271,,23,,
15,,瑞达期货,251,,67,,
16,,宏源期货,248,,57,,
17,,中信建投,237,,-23,,
18,,东航期货,235,,14,,
19,,东方财富,205,,13,,
20,,天风期货,203,,-12,,
总计,,,,8811,,209,,



会员类别,总成交量,增减,,
期货公司会员,6404,,-2495,,

会员类别,总持买单量,增减,,
期货公司会员,10873,,335,,

会员类别,总持卖单量,增减,,
期货公司会员,8811,,209,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：l2001,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,62246,,-12962,,
2,,兴证期货,28564,,-9946,,
3,,国富期货,24231,,-7240,,
4,,海通期货,21743,,4910,,
5,,华泰期货,12044,,-1571,,
6,,方正中期,11515,,-489,,
7,,光大期货,10167,,-3884,,
8,,国泰君安,9712,,1649,,
9,,永安期货,8601,,2248,,
10,,银河期货,6307,,2674,,
11,,招商期货,6268,,1269,,
12,,徽商期货,6266,,22,,
13,,中信期货,5850,,923,,
14,,浙商期货,5559,,-2633,,
15,,东航期货,5396,,3603,,
16,,弘业期货,5001,,1216,,
17,,申银万国,4932,,42,,
18,,南华期货,4451,,708,,
19,,建信期货,3968,,3526,,
20,,东吴期货,3596,,2065,,
总计,,,,246417,,-13870,,

名次,,会员简称,持买单量,增减,,
1,,永安期货,33241,,-5042,,
2,,南华期货,15377,,-12,,
3,,广发期货,9509,,-62,,
4,,中信期货,9148,,-91,,
5,,东证期货,8510,,-524,,
6,,华泰期货,8016,,-582,,
7,,兴证期货,7725,,691,,
8,,弘业期货,6986,,-137,,
9,,方正中期,6717,,-118,,
10,,北京首创,6033,,72,,
11,,申银万国,5925,,-133,,
12,,建信期货,5688,,-1119,,
13,,浙商期货,5247,,280,,
14,,华安期货,4804,,-146,,
15,,中大期货,4739,,-173,,
16,,徽商期货,4722,,-295,,
17,,大地期货,4687,,47,,
18,,国泰君安,4599,,-59,,
19,,国投安信,4385,,-41,,
20,,银河期货,4278,,1633,,
总计,,,,160336,,-5811,,

名次,,会员简称,持卖单量,增减,,
1,,中信期货,23356,,339,,
2,,国投安信,20933,,-267,,
3,,银河期货,16989,,-510,,
4,,华泰期货,14073,,-256,,
5,,海通期货,13326,,552,,
6,,浙商期货,13069,,417,,
7,,方正中期,11168,,419,,
8,,永安期货,11078,,-611,,
9,,东证期货,9894,,-896,,
10,,光大期货,5903,,-230,,
11,,兴证期货,5491,,383,,
12,,建信期货,5395,,71,,
13,,国海良时,4938,,-217,,
14,,信达期货,4916,,24,,
15,,国富期货,4911,,-469,,
16,,国泰君安,4728,,-395,,
17,,长城期货,4306,,150,,
18,,南华期货,4013,,353,,
19,,中粮期货,3994,,121,,
20,,中财期货,3983,,-318,,
总计,,,,186464,,-1340,,



会员类别,总成交量,增减,,
期货公司会员,246417,,-13870,,

会员类别,总持买单量,增减,,
期货公司会员,160336,,-5811,,

会员类别,总持卖单量,增减,,
期货公司会员,186464,,-1340,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：i2002,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,方正中期,8784,,3297,,
2,,光大期货,5315,,1613,,
3,,宝城期货,4008,,-109,,
4,,东海期货,3105,,2466,,
5,,中信期货,2791,,555,,
6,,浙商期货,2324,,-146,,
7,,新湖期货,2222,,24,,
8,,东证期货,2133,,-530,,
9,,南华期货,2124,,52,,
10,,国海良时,2095,,-198,,
11,,国投安信,2076,,436,,
12,,上海中期,1728,,-631,,
13,,华西期货,1030,,64,,
14,,天风期货,612,,301,,
15,,华闻期货,600,,96,,
16,,银河期货,509,,408,,
17,,国信期货,447,,-34,,
18,,申银万国,436,,407,,
19,,五矿经易,402,,16,,
20,,国贸期货,343,,134,,
总计,,,,43084,,8221,,

名次,,会员简称,持买单量,增减,,
1,,南华期货,8854,,111,,
2,,浙商期货,6092,,-56,,
3,,中信期货,5231,,160,,
4,,宝城期货,4468,,-291,,
5,,上海中期,4108,,-212,,
6,,国投安信,4012,,0,,
7,,方正中期,3793,,265,,
8,,弘业期货,3507,,-2,,
9,,新湖期货,3472,,139,,
10,,东海期货,3302,,-1,,
11,,国海良时,3007,,16,,
12,,银河期货,2770,,460,,
13,,永安期货,2359,,-7,,
14,,东证期货,2253,,-155,,
15,,华西期货,1703,,116,,
16,,迈科期货,392,,2,,
17,,上海大陆,200,,10,,
18,,光大期货,176,,98,,
19,,华联期货,160,,0,,
20,,金瑞期货,66,,0,,
总计,,,,59925,,653,,

名次,,会员简称,持卖单量,增减,,
1,,南华期货,8854,,107,,
2,,浙商期货,6020,,4,,
3,,中信期货,5236,,161,,
4,,宝城期货,4463,,-273,,
5,,上海中期,4110,,-224,,
6,,国投安信,4042,,24,,
7,,方正中期,3783,,275,,
8,,弘业期货,3522,,6,,
9,,新湖期货,3369,,125,,
10,,东海期货,3303,,0,,
11,,国海良时,2979,,1,,
12,,永安期货,2472,,1,,
13,,东证期货,2468,,-24,,
14,,银河期货,2365,,25,,
15,,华西期货,1704,,116,,
16,,迈科期货,390,,0,,
17,,华联期货,164,,2,,
18,,光大期货,136,,21,,
19,,国贸期货,113,,110,,
20,,华闻期货,111,,111,,
总计,,,,59604,,568,,



会员类别,总成交量,增减,,
期货公司会员,43084,,8221,,

会员类别,总持买单量,增减,,
期货公司会员,59925,,653,,

会员类别,总持卖单量,增减,,
期货公司会员,59604,,568,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：eb2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,16309,,3873,,
2,,海通期货,8033,,2643,,
3,,徽商期货,4429,,-1454,,
4,,永安期货,4168,,152,,
5,,方正中期,3966,,-390,,
6,,华安期货,3876,,-1362,,
7,,中信期货,3335,,-1244,,
8,,国泰君安,3051,,1008,,
9,,中财期货,2670,,477,,
10,,宏源期货,2286,,1039,,
11,,华泰期货,2279,,-588,,
12,,银河期货,2274,,-1024,,
13,,华闻期货,2007,,358,,
14,,东方财富,1679,,35,,
15,,国海良时,1679,,-131,,
16,,浙商期货,1671,,405,,
17,,东海期货,1634,,762,,
18,,美尔雅期货,1630,,-1999,,
19,,中辉期货,1527,,-459,,
20,,一德期货,1469,,817,,
总计,,,,69972,,2918,,

名次,,会员简称,持买单量,增减,,
1,,中财期货,10633,,935,,
2,,华泰期货,3403,,75,,
3,,方正中期,3132,,278,,
4,,广发期货,2546,,27,,
5,,宁证期货,2434,,85,,
6,,徽商期货,2181,,-122,,
7,,永安期货,2145,,517,,
8,,长江期货,2046,,169,,
9,,浙商期货,1972,,52,,
10,,东海期货,1569,,521,,
11,,海通期货,1560,,-87,,
12,,国投安信,1460,,4,,
13,,东证期货,1397,,-21,,
14,,华安期货,1337,,-72,,
15,,中州期货,1279,,136,,
16,,中信建投,1273,,198,,
17,,银河期货,1261,,-6,,
18,,中信期货,1169,,-15,,
19,,中大期货,1120,,248,,
20,,国泰君安,1043,,6,,
总计,,,,44960,,2928,,

名次,,会员简称,持卖单量,增减,,
1,,永安期货,7030,,735,,
2,,东证期货,4431,,198,,
3,,五矿经易,4341,,-415,,
4,,海通期货,3860,,1906,,
5,,方正中期,3283,,174,,
6,,国泰君安,3104,,535,,
7,,中银国际,2477,,650,,
8,,中信期货,1933,,-10,,
9,,华闻期货,1895,,124,,
10,,华信期货,1869,,-719,,
11,,国联期货,1720,,-29,,
12,,南华期货,1676,,9,,
13,,浙商期货,1374,,-665,,
14,,中财期货,1374,,-145,,
15,,银河期货,1181,,-152,,
16,,国投安信,1158,,81,,
17,,一德期货,1098,,-1012,,
18,,华泰期货,1095,,-30,,
19,,国海良时,1071,,-469,,
20,,金瑞期货,1060,,-11,,
总计,,,,47030,,755,,



会员类别,总成交量,增减,,
期货公司会员,69972,,2918,,

会员类别,总持买单量,增减,,
期货公司会员,44960,,2928,,

会员类别,总持卖单量,增减,,
期货公司会员,47030,,755,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：v2009,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,中国国际,758,,-331,,
2,,中财期货,603,,586,,
3,,广州期货,360,,10,,
4,,东证期货,340,,-1612,,
5,,中大期货,304,,303,,
6,,长江期货,258,,6,,
7,,汇鑫期货,183,,153,,
8,,永安期货,140,,-2028,,
9,,宏源期货,138,,138,,
10,,中信建投,122,,-62,,
11,,迈科期货,100,,75,,
12,,国元期货,94,,-130,,
13,,中航期货,80,,65,,
14,,安粮期货,79,,23,,
15,,西南期货,73,,73,,
16,,海通期货,64,,-45,,
17,,大越期货,59,,-67,,
18,,南华期货,50,,-162,,
19,,方正中期,47,,-76,,
20,,国投安信,46,,-14,,
总计,,,,3898,,-3095,,

名次,,会员简称,持买单量,增减,,
1,,永安期货,6563,,53,,
2,,华泰期货,775,,1,,
3,,申银万国,733,,7,,
4,,方正中期,711,,-9,,
5,,中信建投,710,,120,,
6,,上海大陆,686,,0,,
7,,华金期货,510,,0,,
8,,中信期货,486,,21,,
9,,中财期货,384,,0,,
10,,长江期货,374,,171,,
11,,东海期货,353,,0,,
12,,迈科期货,327,,100,,
13,,东证期货,313,,52,,
14,,中大期货,304,,302,,
15,,信达期货,253,,10,,
16,,海通期货,248,,0,,
17,,中国国际,227,,201,,
18,,冠通期货,151,,0,,
19,,大地期货,148,,-18,,
20,,宏源期货,142,,84,,
总计,,,,14398,,1095,,

名次,,会员简称,持卖单量,增减,,
1,,中信期货,2877,,1,,
2,,东证期货,2425,,288,,
3,,华泰期货,2291,,0,,
4,,申银万国,1413,,0,,
5,,永安期货,1065,,-1,,
6,,中大期货,886,,0,,
7,,银河期货,700,,0,,
8,,宏源期货,670,,54,,
9,,中国国际,605,,149,,
10,,中财期货,602,,601,,
11,,方正中期,368,,16,,
12,,先融期货,339,,0,,
13,,南华期货,187,,50,,
14,,安粮期货,156,,10,,
15,,建信期货,138,,38,,
16,,国海良时,125,,0,,
17,,华安期货,110,,1,,
18,,中辉期货,103,,0,,
19,,中投期货,82,,0,,
20,,一德期货,81,,27,,
总计,,,,15223,,1234,,



会员类别,总成交量,增减,,
期货公司会员,3898,,-3095,,

会员类别,总持买单量,增减,,
期货公司会员,14398,,1095,,

会员类别,总持卖单量,增减,,
期货公司会员,15223,,1234,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：v2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,7125,,-1406,,
2,,永安期货,2631,,-2246,,
3,,中大期货,1808,,809,,
4,,银河期货,1386,,1340,,
5,,中国国际,1208,,298,,
6,,申银万国,1068,,-2427,,
7,,华泰期货,973,,200,,
8,,海通期货,963,,-320,,
9,,光大期货,932,,-365,,
10,,中财期货,917,,522,,
11,,中辉期货,703,,-101,,
12,,中信期货,593,,139,,
13,,招商期货,562,,477,,
14,,建信期货,546,,522,,
15,,鲁证期货,544,,288,,
16,,美尔雅期货,505,,376,,
17,,新湖期货,485,,424,,
18,,方正中期,475,,-272,,
19,,长江期货,472,,235,,
20,,国投安信,467,,285,,
总计,,,,24363,,-1222,,

名次,,会员简称,持买单量,增减,,
1,,永安期货,12936,,1194,,
2,,中信期货,12483,,7,,
3,,东证期货,6115,,50,,
4,,国投安信,5445,,-1,,
5,,国信期货,4899,,27,,
6,,方正中期,2174,,91,,
7,,华泰期货,1941,,301,,
8,,国泰君安,1863,,152,,
9,,宏源期货,1497,,244,,
10,,瑞达期货,1213,,0,,
11,,长江期货,1178,,248,,
12,,海通期货,1140,,533,,
13,,东海期货,1045,,30,,
14,,浙商期货,977,,-9,,
15,,申银万国,923,,223,,
16,,金瑞期货,851,,311,,
17,,大地期货,848,,-44,,
18,,银河期货,795,,3,,
19,,大越期货,787,,44,,
20,,中大期货,696,,-214,,
总计,,,,59806,,3190,,

名次,,会员简称,持卖单量,增减,,
1,,东证期货,9384,,193,,
2,,中信建投,5254,,7,,
3,,信达期货,4994,,-10,,
4,,国泰君安,4994,,7,,
5,,中财期货,4883,,-368,,
6,,一德期货,4791,,25,,
7,,永安期货,4368,,325,,
8,,中银国际,2622,,0,,
9,,金瑞期货,2173,,-30,,
10,,银河期货,1929,,1297,,
11,,华泰期货,1905,,70,,
12,,中大期货,1644,,300,,
13,,中信期货,1627,,404,,
14,,上海中期,1602,,20,,
15,,中国国际,1448,,-5,,
16,,申银万国,1204,,-145,,
17,,国投安信,1114,,8,,
18,,鲁证期货,983,,230,,
19,,东海期货,925,,1,,
20,,新晟期货,883,,-2,,
总计,,,,58727,,2327,,



会员类别,总成交量,增减,,
期货公司会员,24363,,-1222,,

会员类别,总持买单量,增减,,
期货公司会员,59806,,3190,,

会员类别,总持卖单量,增减,,
期货公司会员,58727,,2327,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：c2001,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,92614,,-46222,,
2,,国泰君安,58923,,-16873,,
3,,迈科期货,36930,,-26709,,
4,,安粮期货,33944,,-24276,,
5,,徽商期货,20137,,-13717,,
6,,中信期货,18203,,-23102,,
7,,广州金控,17779,,-87,,
8,,国富期货,13479,,2385,,
9,,光大期货,12929,,-9749,,
10,,兴证期货,10310,,-25657,,
11,,国投安信,10159,,-10267,,
12,,海通期货,9623,,-10881,,
13,,申银万国,9454,,-5052,,
14,,华泰期货,7716,,-1968,,
15,,浙商期货,7079,,-5866,,
16,,永安期货,6960,,-10299,,
17,,鲁证期货,6703,,2739,,
18,,中粮期货,5904,,-2872,,
19,,新湖期货,5779,,1179,,
20,,银河期货,5750,,-4477,,
总计,,,,390375,,-231771,

名次,,会员简称,持买单量,增减,,
1,,永安期货,56042,,2268,,
2,,国投安信,43854,,-266,,
3,,东证期货,38028,,62,,
4,,光大期货,31793,,-861,,
5,,金瑞期货,31682,,21,,
6,,鲁证期货,29735,,-923,,
7,,中信期货,24620,,-37,,
8,,国泰君安,19175,,354,,
9,,申银万国,18863,,-3715,,
10,,一德期货,14797,,79,,
11,,华泰期货,14248,,104,,
12,,平安期货,12041,,45,,
13,,南华期货,11923,,-2512,,
14,,方正中期,8892,,-319,,
15,,大有期货,7947,,62,,
16,,北京首创,7639,,-718,,
17,,中粮期货,6888,,219,,
18,,浙商期货,6867,,282,,
19,,徽商期货,6845,,670,,
20,,兴证期货,6806,,458,,
总计,,,,398685,,-4727,,

名次,,会员简称,持卖单量,增减,,
1,,中信期货,92481,,-630,,
2,,中粮期货,64317,,-2621,,
3,,金瑞期货,34833,,109,,
4,,永安期货,28371,,175,,
5,,五矿经易,27675,,-10,,
6,,光大期货,27275,,-1160,,
7,,国投安信,26718,,2183,,
8,,浙商期货,24245,,-951,,
9,,华泰期货,23861,,938,,
10,,东证期货,22211,,-7116,,
11,,中国国际,15987,,-69,,
12,,广发期货,15151,,-160,,
13,,银河期货,8964,,-62,,
14,,中金期货,8862,,66,,
15,,南华期货,8373,,484,,
16,,国泰君安,8189,,33,,
17,,鲁证期货,7137,,-252,,
18,,海通期货,6877,,328,,
19,,东兴期货,6710,,425,,
20,,东海期货,6632,,-1,,
总计,,,,464869,,-8291,,



会员类别,总成交量,增减,,
期货公司会员,390375,,-231771,

会员类别,总持买单量,增减,,
期货公司会员,398685,,-4727,,

会员类别,总持卖单量,增减,,
期货公司会员,464869,,-8291,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：b2001,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,22051,,3106,,
2,,海通期货,8625,,-62,,
3,,方正中期,6183,,-1058,,
4,,南华期货,4395,,2634,,
5,,东吴期货,4286,,1698,,
6,,国富期货,4100,,-399,,
7,,弘业期货,3698,,-710,,
8,,国泰君安,3449,,515,,
9,,国投安信,3346,,359,,
10,,五矿经易,3263,,371,,
11,,中信期货,3030,,591,,
12,,申银万国,2214,,677,,
13,,永安期货,1990,,551,,
14,,中原期货,1880,,1371,,
15,,上海中期,1845,,1132,,
16,,华泰期货,1837,,-142,,
17,,国海良时,1772,,-930,,
18,,徽商期货,1202,,-102,,
19,,金瑞期货,1195,,395,,
20,,华闻期货,1194,,-4,,
总计,,,,81555,,9993,,

名次,,会员简称,持买单量,增减,,
1,,五矿经易,19490,,0,,
2,,南华期货,18227,,-98,,
3,,光大期货,16462,,-137,,
4,,弘业期货,14335,,84,,
5,,上海中期,13627,,796,,
6,,东吴期货,12836,,-840,,
7,,方正中期,11234,,-38,,
8,,中原期货,9573,,161,,
9,,申银万国,8921,,321,,
10,,国投安信,7563,,-742,,
11,,海通期货,6487,,396,,
12,,国海良时,5955,,14,,
13,,渤海期货,3162,,-16,,
14,,金瑞期货,2521,,343,,
15,,永安期货,2520,,47,,
16,,东证期货,1178,,15,,
17,,中信期货,914,,222,,
18,,美尔雅期货,712,,-16,,
19,,银河期货,637,,230,,
20,,华泰期货,581,,142,,
总计,,,,156935,,884,,

名次,,会员简称,持卖单量,增减,,
1,,五矿经易,19143,,17,,
2,,南华期货,17665,,821,,
3,,光大期货,16404,,-155,,
4,,上海中期,14447,,737,,
5,,弘业期货,14283,,30,,
6,,东吴期货,12095,,-1654,,
7,,方正中期,11428,,-69,,
8,,中原期货,9643,,141,,
9,,申银万国,8985,,463,,
10,,国投安信,7909,,-754,,
11,,海通期货,6292,,-25,,
12,,国海良时,5897,,2,,
13,,渤海期货,3183,,2,,
14,,永安期货,2927,,263,,
15,,金瑞期货,2191,,-198,,
16,,东证期货,2067,,428,,
17,,中信期货,1638,,46,,
18,,宏源期货,741,,1,,
19,,兴证期货,512,,59,,
20,,瑞达期货,428,,419,,
总计,,,,157878,,574,,



会员类别,总成交量,增减,,
期货公司会员,81555,,9993,,

会员类别,总持买单量,增减,,
期货公司会员,156935,,884,,

会员类别,总持卖单量,增减,,
期货公司会员,157878,,574,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：pp2009,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,中信期货,626,,-376,,
2,,中大期货,430,,422,,
3,,弘业期货,422,,404,,
4,,东证期货,316,,109,,
5,,上海大陆,291,,-97,,
6,,永安期货,238,,110,,
7,,国投安信,220,,149,,
8,,华安期货,191,,129,,
9,,国信期货,170,,97,,
10,,方正中期,169,,120,,
11,,华金期货,153,,-7,,
12,,平安期货,112,,92,,
13,,国贸期货,111,,-12,,
14,,国泰君安,109,,85,,
15,,信达期货,96,,21,,
16,,东吴期货,75,,-70,,
17,,盛达期货,73,,55,,
18,,徽商期货,67,,47,,
19,,申银万国,66,,66,,
20,,海证期货,62,,41,,
总计,,,,3997,,1385,,

名次,,会员简称,持买单量,增减,,
1,,大越期货,1969,,2,,
2,,永安期货,1818,,96,,
3,,华泰期货,1402,,3,,
4,,东吴期货,1082,,0,,
5,,浙商期货,818,,5,,
6,,国泰君安,664,,108,,
7,,银河期货,645,,-1,,
8,,中大期货,553,,430,,
9,,弘业期货,538,,412,,
10,,中信期货,503,,26,,
11,,中国国际,490,,22,,
12,,海通期货,477,,9,,
13,,华金期货,475,,-30,,
14,,上海大陆,385,,0,,
15,,鲁证期货,384,,1,,
16,,方正中期,333,,21,,
17,,新纪元期货,303,,0,,
18,,南华期货,293,,-6,,
19,,国投安信,285,,1,,
20,,广发期货,268,,27,,
总计,,,,13685,,1126,,

名次,,会员简称,持卖单量,增减,,
1,,中信期货,3044,,600,,
2,,永安期货,1728,,-74,,
3,,东海期货,1160,,0,,
4,,东吴期货,1081,,-1,,
5,,国投安信,1021,,-39,,
6,,华泰期货,964,,-2,,
7,,国富期货,803,,9,,
8,,华安期货,525,,86,,
9,,华金期货,508,,-57,,
10,,国贸期货,447,,111,,
11,,信达期货,419,,95,,
12,,东证期货,405,,274,,
13,,迈科期货,333,,-11,,
14,,平安期货,311,,110,,
15,,建信期货,306,,14,,
16,,海证期货,266,,-21,,
17,,恒泰期货,245,,6,,
18,,徽商期货,240,,21,,
19,,中信建投,217,,18,,
20,,安粮期货,216,,6,,
总计,,,,14239,,1145,,



会员类别,总成交量,增减,,
期货公司会员,3997,,1385,,

会员类别,总持买单量,增减,,
期货公司会员,13685,,1126,,

会员类别,总持卖单量,增减,,
期货公司会员,14239,,1145,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：jm2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,1420,,516,,
2,,华泰期货,1407,,725,,
3,,永安期货,1310,,966,,
4,,国富期货,1257,,407,,
5,,银河期货,948,,632,,
6,,光大期货,821,,-29,,
7,,北京首创,797,,703,,
8,,方正中期,715,,460,,
9,,申银万国,652,,161,,
10,,安粮期货,517,,97,,
11,,宏源期货,496,,226,,
12,,海通期货,476,,69,,
13,,五矿经易,470,,234,,
14,,长江期货,460,,139,,
15,,中信期货,414,,245,,
16,,国信期货,407,,-61,,
17,,徽商期货,375,,203,,
18,,东海期货,368,,292,,
19,,华安期货,358,,180,,
20,,浙商期货,332,,75,,
总计,,,,14000,,6240,,

名次,,会员简称,持买单量,增减,,
1,,银河期货,2066,,59,,
2,,格林大华,1731,,5,,
3,,华泰期货,1486,,-251,,
4,,国投安信,1240,,10,,
5,,国泰君安,993,,63,,
6,,英大期货,786,,3,,
7,,申银万国,761,,83,,
