商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,期货公司  ,期货公司  ,182357,6637,期货公司  ,期货公司  ,260868,3665,期货公司  ,期货公司  ,267278,3860,
商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,非期货公司,非期货公司,1501,-145,非期货公司,非期货公司,10469,173,非期货公司,非期货公司,4059,-22,
11,0274      ,中辉期货  ,458,37,0268      ,中信建投  ,1113,-2,0047      ,迈科期货  ,1599,-160,
12,0103      ,永安期货  ,391,223,0034      ,方正中期  ,969,88,0169      ,兴业期货  ,1281,-45,
13,0272      ,银河期货  ,356,58,0077      ,新湖期货  ,855,16,0058      ,国贸期货  ,1162,109,
14,0320      ,大有期货  ,346,232,0169      ,兴业期货  ,813,8,0274      ,中辉期货  ,947,-9,
15,0240      ,广发期货  ,332,164,0253      ,华泰期货  ,804,136,0272      ,银河期货  ,889,30,
16,0049      ,金瑞期货  ,318,-67,0186      ,徽商期货  ,785,0,0088      ,东亚期货  ,873,40,
17,0025      ,铜冠金源  ,314,132,0096      ,南华期货  ,750,17,0253      ,华泰期货  ,840,391,
18,0136      ,信达期货  ,297,276,0019      ,宝城期货  ,729,0,0081      ,海通期货  ,832,30,
19,0298      ,东方财富  ,284,120,0103      ,永安期货  ,728,-33,0311      ,兴证期货  ,727,0,
20,0004      ,国泰君安  ,279,-38,0338      ,广州期货  ,642,66,0034      ,方正中期  ,700,23,
合计:cu2002                        ,,,17521,4007,,,30657,594,,,35924,1021,
RANK1合约代码:cu2003                        ,,,,,,,,,,
1,0163      ,东证期货  ,1130,21,0148      ,中信期货  ,2958,18,0096      ,南华期货  ,2811,41,
2,0148      ,中信期货  ,905,475,0096      ,南华期货  ,2459,41,0077      ,新湖期货  ,2067,1,
3,0385      ,国富期货  ,509,35,0049      ,金瑞期货  ,804,20,0272      ,银河期货  ,1670,443,
4,0272      ,银河期货  ,506,412,0081      ,海通期货  ,747,108,0148      ,中信期货  ,1588,-309,
5,0082      ,国投安信  ,397,108,0025      ,铜冠金源  ,685,30,0049      ,金瑞期货  ,1232,45,
6,0081      ,海通期货  ,324,17,0003      ,建信期货  ,562,4,0163      ,东证期货  ,1055,94,
7,0034      ,方正中期  ,306,29,0272      ,银河期货  ,472,11,0169      ,兴业期货  ,889,37,
8,0274      ,中辉期货  ,288,56,0240      ,广发期货  ,429,110,0002      ,中钢期货  ,836,0,
9,0298      ,东方财富  ,252,58,0001      ,招金期货  ,392,-4,0009      ,五矿经易  ,604,-3,
10,0253      ,华泰期货  ,229,7,0077      ,新湖期货  ,381,1,0268      ,中信建投  ,431,4,
11,0338      ,广州期货  ,221,-140,0298      ,东方财富  ,360,-13,0003      ,建信期货  ,362,0,
12,0009      ,五矿经易  ,204,-22,0047      ,迈科期货  ,353,0,0103      ,永安期货  ,303,-1,
